docid;title;text;features;category
1;FYY Leather Case with Mirror for Samsung Galaxy S8 Plus, Leather Wallet Flip Folio Case with Mirror and Wrist Strap for Samsung Galaxy S8 Plus Black;Product Description Premium PU Leather Top quality. Made with Premium PU Leather. Receiver design. Accurate cut-out for receiver. Convenient to Answer the phone without open the case. Hand strap makes it easy to carry around. RFID Technique RFID Technique: Radio Frequency Identification technology, through radio signals to identify specific targets and to read and copy electronic data. Most Credit Cards, Debit Cards, ID Cards are set-in the RFID chip, the RFID reader can easily read the cards information within 10 feet(about 3m) without touching them. This case is designed to protect your cards information from stealing with blocking material of RFID shielding technology. 100% Handmade 100% Handmade. Perfect craftmanship and reinforced stitching makes it even more durable. Sleek, practical and elegant with a variety of dashing colors. Multiple Functions Card slots are designed for you to put your photo, debit card, credit card or ID card while on the go. Unique design. Cosmetic Mirror inside made for your makeup and beauty. Perfect Viewing Angle. Kickstand function is convenient for movie-watching or video-chatting. Space amplification, convenient to unlock. Kickstand function is convenient for movie-watching or video-chatting. ;"{  ""features"": {    ""product_title"": ""FYY Leather Case with Mirror for Samsung Galaxy S8 Plus, Leather Wallet Flip Folio Case with Mirror and Wrist Strap for Samsung Galaxy S8 Plus Black"",    ""material"": ""Premium PU Leather"",    ""color"": ""Black"",    ""receiver_design"": ""Accurate cut-out for receiver"",    ""hand_strap"": true,    ""rfid_technique"": ""RFID Technique: Radio Frequency Identification technology, through radio signals to identify specific targets and to read and copy electronic data"",    ""handmade"": true,    ""craftsmanship"": ""Perfect craftmanship and reinforced stitching"",    ""card_slots"": true,    ""cosmetic_mirror"": true,    ""kickstand_function"": true,    ""space_amplification"": true  }}";Electronics
2;Playtex Women's 18 Hour Easy On, Easy Off Front & Back Close Post Surgery Bra US400C;Product Description Introducing Playtex 18 hour front & back close wireless bra designed for dressing ease and versatility. Our newest wire free bra is designed in a soft, seamless cotton comfort blend for a smooth look under clothing and incredible comfort against your skin. Designed to offer the convenience of front close bra and a back close bra for easy fastening and removal. Wide comfort straps are soft against the skin. Product Description Introducing Playtex 18 hour front & back close wireless bra designed for dressing ease and versatility. Our newest wire free bra is designed in a soft, seamless cotton comfort blend for a smooth look under clothing and incredible comfort against your skin. Designed to offer the convenience of front close bra and a back close bra for easy fastening and removal. Wide comfort straps are soft against the skin.;"{""features"": {""brand"": ""Playtex"",""model"": ""US400C"",""gender"": ""Women's"",""closure"": ""Front & Back Close"",""wireless"": true,""material"": ""Cotton Comfort Blend"",""seamless"": true,""strap_type"": ""Wide comfort straps""}}";Women's Fashion
4;"YUEPIN U-Tube Clamp 304 Stainless Steel Hose Pipe Cable Strap Clips With Rubber Cushioned (1-21/32""(42mm)-10pcs)";Product Description Specification: Material: 304 Stainless Steel,100% New Rubber Color: Silver Shape: U Shape Quantity: 10 Pieces Note: Note: Since the size above is measured by hand, the size of the actual item you received could be slightly different from the size above. Product Description Specification: Material: 304 Stainless Steel,100% New Rubber Color: Silver Shape: U Shape Quantity: 10 Pieces Note: Note: Since the size above is measured by hand, the size of the actual item you received could be slightly different from the size above.;"{""features"": {""Material"": ""304 Stainless Steel,100% New Rubber"", ""Color"": ""Silver"", ""Shape"": ""U Shape"", ""Quantity"": ""10 Pieces""}}";Automotive
5;Bruce's Big Storm (Mother Bruce Series);;"{""features"": ""Bruce's Big Storm (Mother Bruce Series)""}";Books
6;DJI Shoulder Neck Strap Belt Sling Lanyard Necklaces for Dji Phantom 3 Inspire 1 Remote;Product Description Specifications: Item Conditon : Brand New Item name : Remote Controller Strap Color : Black Model : DJI Inspire 1 DJI &DJI phantom 3 professional With beautiful and adjustable design Package Includes: 1 x original neck strap for DJI phantom 3 and inspire 1 (The transmitter is not included) Product Description Specifications: Item Conditon : Brand New Item name : Remote Controller Strap Color : Black Model : DJI Inspire 1 DJI &DJI phantom 3 professional With beautiful and adjustable design Package Includes: 1 x original neck strap for DJI phantom 3 and inspire 1 (The transmitter is not included);"{  ""features"": {    ""Item Condition"": ""Brand New"",    ""Item name"": ""Remote Controller Strap"",    ""Color"": ""Black"",    ""Model"": ""DJI Inspire 1 DJI &DJI phantom 3 professional"",    ""Package Includes"": ""1 x original neck strap for DJI phantom 3 and inspire 1 (The transmitter is not included)""  }}";Toys and Games
7;Crocs Jibbitz 5-Pack Alien Shoe Charms | Jibbitz for Crocs;From the brand Previous page Shop Crocs Collections Visit the Store What makes our products unique? We design unparalleled comfort for everywhere you go while innovating for personalization, so you hold the power to make your Crocs uniquely you. What problem are we solving? Comfort at every level, for the body and soul. We want you to stay true to who you are, what you want, and be able to celebrate your uniqueness. Because when you’re comfortable, you can do anything. How did we get our start? We made our debut in 2002 as a boating shoe and became the shoe of choice for those looking for comfort and style. Today, our shoes are also a blank canvas for artists, partners, and customers so we can create something authentic together. Crocs Clogs Crocs Sandals Crocs at Work Crocs Jibbitz Crocs Kids Crocs is a brand of the people, for the people and we believe that everyone should be comfortable in their own shoes. We embrace and celebrate the uniqueness in everyone, inviting the world to Come As You Are. Next page From the manufacturer Read more Read more Great for everyone Fun Styling Personalization Read more Read more Jibbitz Everything Nice Pack Jibbitz Peace, Love and Outdoors Pack Jibbitz Letters Crocs with Charms Classic Clog Explore Similar Products Pop some unicorns into your shoes with Jibbitz shoe charms. Pop some peace, love and outdoors charms into your shoes with Jibbitz shoe charms. Pop some letters into your shoes with Jibbitz shoe charms. This set includes a pair of Classic Clogs and a pack of Jibbitz shoe charms. It’s the iconic clog that started a comfort revolution around the world! Key Features Jibbitz are the perfect addition to your favorite pairs of clogs, slides, and more. Not a toy. Not intended for children under 3 years of age. Jibbitz are the perfect addition to your favorite pairs of clogs, slides, and more. Not a toy. Not intended for children under 3 years of age. Jibbitz are the perfect addition to your favorite pairs of clogs, slides, and more. Not a toy. Not intended for children under 3 years of age. Jibbitz are the perfect addition to your favorite pairs of clogs, slides, and more. Not a toy. Not intended for children under 3 years of age. Incredibly light and fun to wear. Water-friendly. Easy to clean and quick to dry. Pivoting heel straps for a more secure fit. Customizable with Jibbitz charms. Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort. Fit N/A N/A N/A Roomy fit Roomy fit Size Up or Down N/A N/A N/A Size down to the next largest whole size Size down to the next largest whole size ;"{""features"": ""{'Product title': 'Crocs Jibbitz 5-Pack Alien Shoe Charms | Jibbitz for Crocs', 'From the brand': 'Previous page Shop Crocs Collections Visit the Store', 'What makes our products unique?': 'We design unparalleled comfort for everywhere... '}""}";Toys and Games
10;Design Toscano QM2787100 Darby, the Forest Fawn Baby Deer Statue,full color;;"{""features"": {  ""title"": ""Design Toscano QM2787100 Darby, the Forest Fawn Baby Deer Statue"",  ""color"": ""full color""}}";null
11;Zeagoo Women's Open Front Cardigan 3/4 Sleeve Draped Ruffles Soft Knit Sweaters;From the brand Lightweight Cardigan Previous page Best choice Black cardigan for women Most Wished Navy cardigan women Wardrobe Essentials Grey cardigan women New Color You will like--- Next page Product Description NOTE Lightweight and skin friendly fabric, a little thinner than a t-shirt, so that does cause it to wrinkle. When you receive it you can wash it in cold and hung on a hanger to dry and the wrinkles will decrease. Just the right thickness for Summer evenings or Spring/Fall.The light color, like white, may be a little see through. Note: Do remind to check the size chart before ordering. This cardigan is in normal size, if you are more like a loose sense, then ordered up a size and the sleeve is slim fit! Tip: Color may vary slightly from image. Colors may vary from different viewing devices.. For the color of the product, please refer to the actual received. DESIGN&OCCASION Great for jeans, leggings, or little dresses,completes an out fit for a wedding! Perfect sweater for just about any event - I bought it for a chamber music performance, and also wear it to teach and for church. It is very comfortable, soft, and flattering! I bought 2 colors Gray and brown . They are fantastic the material very soft and very light excellent for office . I wear all the time at work. The fitting was so perfect . I highly recommend this product to my co workers and to all woman who loves to wear light blazer! I ordered this to go over a sleeveless dress. I love it! The cut is flattering, not boxy. I’m 5’ 4” and weigh about 185. I ordered an XL and it fits great. The length covers my bubble butt. Sleeves are 3/4 length and easily push up and STAY! Not tight on upper arms. It is made of cotton and spandex, not sheer so it covers what needs to be covered without being bulky. Highly recommended! HIGH QUANLITY MATERIAL Does this wrinkle easily? Is this hard to iron? The material is super soft,does not wrinkle and washes great!! If you dry on low, take out of dryer quickly and hang u, it does not need ironing. It doesn't wrinkle easily. Once it fell off the chair I had it on and was on the floor overnight, and it only wrinkled a bit. I lightly steamed it, and it was fine. When I took it out of the package, it smelled bad. Always wash before putting on clothes. After washing, there will be no smell and no wrinkles. I LOVE LOVE LOVE this little cardi!!! The material is soft, its really good quality, not thin, not thick, 3/4 sleeves looks just like the picture the seller posted & it’s perfect, it lays nicely & I absolutely love it I wish they had it in every color ! For reference, I am 5’3” & I weigh 134lbs, I purchased a small & it’s fits me perfectly! Great for jeans, leggings, or little dresses, I’m sooooo happy I bought this. I do not put most of my clothes from Amazon in the dryer, esp if I’m unsure of quality, so idk if it would shrink, I wash everything on normal then hang to dry & my clothes, I lightly sprayed this cardi with some water in a spray bottle after hanging to dry & it looked like I ironed it. About Size: Depending on her type of body on the top, I'm 5'2, small torso, 36C (it doesn't matter because it is open). I think the small will fit. It is beautiful I think it runs true to size. I’m 5’1” and weigh 147 . I got a medium and am very happy with the way it hangs...hope this helps! It’s really cute and the fabric is very soft. I ordered this to go over a sleeveless dress. I love it! The cut is flattering, not boxy. I’m 5’ 4” and weigh about 185 . I ordered an XL and it fits great. The length covers my bubble butt. Sleeves are 3/4 length and easily push up and STAY! Not tight on upper arms. This is the perfect light weight sweater cardigan . I am 5ft 4inches and 165 pounds . I bought black xxl . I am a 40 c . The sleeves go two tge elbow not past . The sleeve has a nice fit . I just returned from the pool . I had a black cover up and put this light cardigan on . It is perfect . I realize that black on black on black is difficult to see . I bought 2 more . I will do a color reveiw and let you know how they hold up . I must say this is the perfect spring and summer light sweater /jacket. SIZE&COLOR Material : 95% Rayon, 5%Spandex Sleeve : Three-quarter sleeves Pattern : Classic solid color, tie-dye series, leopard print series Feature : Flounce Hem Garment Care : Washing max 40°C Package Content : 1 x Women Cardigan Our Model Information : Height 175cm, Bust 90cm, Waist 60cm, Hip 90cm Size : There are 5 sizes (S, M, L, XL, XXL) available for the following listing. please allow 1-2cm differs due to manual measurement, thanks (All measurement in cm and please note 1cm=0.3937inch) Tip : There may be slight differences between the picture and the actual product. For the color of the product, please refer to the actual received. Sleeveless Vest Long Sleeve Cardigan Floral Tank Tops Flowy Tunic Tops Lace Dress Extender Full Slip Women's Sweater Vests Women's Cardigans Women's Tanks & Camis Women's Tanks & Camis Women's Full Slips Women's Sleepwear ;"{""features"": {""product_title"": ""Zeagoo Women's Open Front Cardigan 3/4 Sleeve Draped Ruffles Soft Knit Sweaters"", ""brand"": ""Zeagoo"", ""sleeve_length"": ""3/4 Sleeve"", ""material"": ""95% Rayon, 5% Spandex"", ""pattern"": ""Classic solid color, tie-dye series, leopard print series"", ""garment_care"": ""Washing max 40°C"", ""sizes_available"": [""S"", ""M"", ""L"", ""XL"", ""XXL""], ""product_type"": ""Cardigan"", ""style"": ""Open front, draped ruffles, soft knit"", ""occasion"": ""Great for jeans, leggings, or little dresses"", ""model_information"": {""height"": ""175cm"", ""bust"": ""90cm"", ""waist"": ""60cm"", ""hip"": ""90cm""}}}";Women's Fashion
12;Rekayla Open Toe Tie Up Ankle Wrap Flat Sandals for Women;From the brand Previous page REKAYLA is a fresh new brand that wants to provide a top quality product to women all over the world. Its about being comfortable, and beautiful, feeling at home in your own shoes. We want to allow women to be empowered to reach their goals. Rekayla Women Flat Sandals Next page Product Description Read more OUR STORY ： REKAYLA is a fresh new brand that wants to provide a top quality product to women all over the world, everyone is able to reach. Its about being comfortable, and beautiful, feeling at home in your own shoes. We want to allow women to be empowered to reach their goals. WHAT'S YOUR COLOR? Find your favorite color, and take these tie up sandals to enjoy a casual summer trip PREFECT FOR SUMMER The sandal is a must-have item for the summer season.Anti-sliding, easy to carry. Ease foot pain, more suitable for long time walking. Elastic sandals Thong sandals Ankle strap sandals FEATURE Elastic strap、Open toe、V-shape T-strap、Buckle closure Ankle strap、Buckle closure、Open toe COLOR Black、Inky Navy、Khaki Green、Beige、Brown、Gold、Red Black、White、Navy Blue、Brown、Gold、Silver Brown-black、Black、Brown、White、Gold-nude、Nude、Red ;"{""features"": ""['Open toe', 'Tie-up ankle wrap', 'Flat', 'Elastic strap', 'V-shape T-strap', 'Buckle closure', 'Color options: Black, Inky Navy, Khaki Green, Beige, Brown, Gold, Red', 'Color options: Black, White, Navy Blue, Brown, Gold, Silver', 'Color options: Brown-black, Black, Brown, White, Gold-nude, Nude, Red']""}";Women's Fashion
13;Apron for Women, Waterproof Adjustable Bib Cooking Aprons with Pocket-2 Side Coral Velvet Towels Stitched Durable Pinstripe Aprons for Dishwashing, Baking, Grill, Restaurant Even Garden Craft;;"{""features"": {  ""title"": ""Apron for Women"",  ""adjustable"": true,  ""waterproof"": true,  ""withPocket"": true,  ""towels"": ""2 Side Coral Velvet"",  ""stitched"": true,  ""durable"": true,  ""pinstripe"": true,  ""activities"": [""Dishwashing"", ""Baking"", ""Grill"", ""Restaurant"", ""Garden Craft""]}}";Home and Kitchen
14;DIY 5D Diamond Painting by Number Kit for Adult, Full Drill Crystal Rhinestone Embroidery Cross Stitch Diamond Embroidery Dotz Kit Home Wall Decor 15.8×11.8 Inch (Wolf);Product Description 5D DIY Diamond Painting is the new popular product Can be used in the Bedroom, Dinning Room, Bathroom, Washroom, Kitchen, Study, Home, Office Hotel, Restaurant and Bar,shining in the light , is currently most popular DIY decorations,Wealth and Good Fortune Diamond Painting Embroidery Home Decoration.very shining and bling.Make your house looks more pretty. DIY Diamond painting instruction steps 1.Take out the diamond painting kits 2.Please only need to lift a small part of the release paper, in order to avoid other regional sticky dust affect. 3.Find the corresponding diamond bag according to the numbers or letters, put the diamonds into the tray and shake. 4.Use the penpoint to adsorb the painting muds and diamond, press it to the canvas's corresponding position. 5.Press diamonds on the canvas with book or hand to make them more fixed. then 5d diamond paintings is done. Package Included 1 x Canvas 1 x set Resin Diamonds 1 x Diamond painting pen 1 x Diamond tray 1×Painting Muds SPECIFICATION Diamond Size: 0.1inch Diamond part: Full drill Pattern: Home Letter Cavas Size: 15.8×11.8 inch/ 40*30cm Pasting Area: Full Drill Diamond Shape: Round Use: Entertainment,Gifts,Decoration Note:Normally the diamonds is add 30%, if the diamonds is not enough,pls contact us we will send the diamonds for you Product Description 5D DIY Diamond Painting is the new popular product Can be used in the Bedroom, Dinning Room, Bathroom, Washroom, Kitchen, Study, Home, Office Hotel, Restaurant and Bar,shining in the light , is currently most popular DIY decorations,Wealth and Good Fortune Diamond Painting Embroidery Home Decoration.very shining and bling.Make your house looks more pretty. DIY Diamond painting instruction steps 1.Take out the diamond painting kits 2.Please only need to lift a small part of the release paper, in order to avoid other regional sticky dust affect. 3.Find the corresponding diamond bag according to the numbers or letters, put the diamonds into the tray and shake. 4.Use the penpoint to adsorb the painting muds and diamond, press it to the canvas's corresponding position. 5.Press diamonds on the canvas with book or hand to make them more fixed. then 5d diamond paintings is done. Package Included 1 x Canvas 1 x set Resin Diamonds 1 x Diamond painting pen 1 x Diamond tray 1×Painting Muds SPECIFICATION Diamond Size: 0.1inch Diamond part: Full drill Pattern: Home Letter Cavas Size: 15.8×11.8 inch/ 40*30cm Pasting Area: Full Drill Diamond Shape: Round Use: Entertainment,Gifts,Decoration Note:Normally the diamonds is add 30%, if the diamonds is not enough,pls contact us we will send the diamonds for you;"{""features"": {""Product Title"": ""DIY 5D Diamond Painting by Number Kit for Adult, Full Drill Crystal Rhinestone Embroidery Cross Stitch Diamond Embroidery Dotz Kit Home Wall Decor 15.8×11.8 Inch (Wolf)"", ""Package Included"": ""1 x Canvas 1 x set Resin Diamonds 1 x Diamond painting pen 1 x Diamond tray 1×Painting Muds"", ""Diamond Size"": ""0.1inch"", ""Diamond part"": ""Full drill"", ""Pattern"": ""Home Letter"", ""Cavas Size"": ""15.8×11.8 inch/ 40*30cm"", ""Pasting Area"": ""Full Drill"", ""Diamond Shape"": ""Round"", ""Use"": ""Entertainment,Gifts,Decoration""}}";Arts & Crafts
19;Under Armour Men's Micro G Pursuit-Wide Sneaker, 15;Product Description Lightweight, breathable mesh upper delivers increased ventilation with bonded taping at midfoot. TPU heel overlay for added durability. Enhanced cushioning around ankle collar for superior comfort. Full-length EVA sock liner for added comfort & a custom fit. Cushioned EVA midsole delivers a lightweight & responsive ride. Aggressive outsole traction pattern with slightly raised rubber knobs for added grip. Strategically placed rubber pods beneath the heel & forefoot for greater durability with less weight. Product Description Lightweight, breathable mesh upper delivers increased ventilation with bonded taping at midfoot. TPU heel overlay for added durability. Enhanced cushioning around ankle collar for superior comfort. Full-length EVA sock liner for added comfort & a custom fit. Cushioned EVA midsole delivers a lightweight & responsive ride. Aggressive outsole traction pattern with slightly raised rubber knobs for added grip. Strategically placed rubber pods beneath the heel & forefoot for greater durability with less weight.;"{""features"": {""Title"": ""Under Armour Men's Micro G Pursuit-Wide Sneaker, 15"", ""Description"": ""Lightweight, breathable mesh upper delivers increased ventilation with bonded taping at midfoot. TPU heel overlay for added durability. Enhanced cushioning around ankle collar for superior comfort. Full-length EVA sock liner for added comfort & a custom fit. Cushioned EVA midsole delivers a lightweight & responsive ride. Aggressive outsole traction pattern with slightly raised rubber knobs for added grip. Strategically placed rubber pods beneath the heel & forefoot for greater durability with less weight.""}}";Men's Fashion
